run,shift_mm,lift_mm,kp,kd,timing_scale,friction_scale,returncode,pass,reason,clearance_mm,support_margin_mm,roll_deg,pitch_deg,peak_torque_nm,tracking_error_rad,joint_rate_rad_s,touchdown_velocity_m_s,final_joint_error_rad
1,60,14,140,2.5,0.75,0.5,2,False,measured FR clearance did not reach 5 mm|clearance,3.9633382409999998,91.51764626,0.4593981752,0.8847787107,9.743413769,0.06977586484,0.8088331093,-0.0005049307199,0.3433105501
2,60,14,140,2.5,0.75,1.0,2,False,measured FR clearance did not reach 5 mm|clearance,3.9633382409999998,91.51764626,0.4593981752,0.8847787107,9.743413769,0.06977586484,0.8088331093,-0.0005049307199,0.3433105501
3,60,14,140,2.5,0.75,1.5,2,False,measured FR clearance did not reach 5 mm|clearance,4.31249226,88.96988784999999,0.7256999594,1.246031827,9.888433474,0.07085093893,0.6532454079,-0.001626486926,0.3445398783
4,60,14,140,2.5,1.0,0.5,2,False,measured FR clearance did not reach 5 mm|clearance,3.700894174,91.55553107,0.4541137052,0.8814746216,9.743745017,0.06932025254,0.8088331093,-0.0008598072395,0.3433142946
5,60,14,140,2.5,1.0,1.0,2,False,measured FR clearance did not reach 5 mm|clearance,3.700894174,91.55553107,0.4541137052,0.8814746216,9.743745017,0.06932025254,0.8088331093,-0.0008598072395,0.3433142946
6,60,14,140,2.5,1.0,1.5,2,False,measured FR clearance did not reach 5 mm|clearance,4.2744178779999995,89.26355226,0.712471288,1.223619881,9.792552305,0.06980191061,0.6532454079,-0.00117679737,0.3445416065
7,60,14,140,2.5,1.25,0.5,2,False,measured FR clearance did not reach 5 mm|clearance,3.563877,91.51156293,0.4533112548,0.8832207508,9.743896082,0.06932133408,0.8088331093,-0.0007596163672,0.3433161089
8,60,14,140,2.5,1.25,1.0,2,False,measured FR clearance did not reach 5 mm|clearance,3.563877,91.51156293,0.4533112548,0.8832207508,9.743896082,0.06932133408,0.8088331093,-0.0007596163672,0.3433161089
9,60,14,140,2.5,1.25,1.5,2,False,measured FR clearance did not reach 5 mm|clearance,4.256456125000001,89.35901312,0.7080061877,1.216095451,9.792515237,0.06966804165,0.6532454079,-0.0009251934916,0.3445422274
10,60,14,180,3.5,0.75,0.5,0,True,,5.496950213,92.9077413,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01221450772,0.3375552812
11,60,14,180,3.5,0.75,1.0,0,True,,5.496950213,92.9077413,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01221450772,0.3375552812
12,60,14,180,3.5,0.75,1.5,0,True,,5.91566313,93.72911936,0.6226549924,0.9821066668,9.585644735,0.05352106254,0.5069070907,-0.001759476952,0.3384213013
13,60,14,180,3.5,1.0,0.5,0,True,,5.4280814059999996,92.96432722,0.3575134135,0.6555842647,9.434091368,0.05218948694,0.6358433803,-0.000520167677,0.3375553422
14,60,14,180,3.5,1.0,1.0,0,True,,5.4280814059999996,92.96432722,0.3575134135,0.6555842647,9.434091368,0.05218948694,0.6358433803,-0.000520167677,0.3375553422
15,60,14,180,3.5,1.0,1.5,0,True,,5.86656115,93.79232483999999,0.6102364222,0.9622531975,9.463868585,0.05263000048,0.5069070907,-0.001423727531,0.3384218471
16,60,14,180,3.5,1.25,0.5,0,True,,5.420620044,92.99113591999999,0.3558036494,0.6532876445,9.434121749,0.05214608856,0.6358433803,-0.0008300859155,0.3375556138
17,60,14,180,3.5,1.25,1.0,0,True,,5.420620044,92.99113591999999,0.3558036494,0.6532876445,9.434121749,0.05214608856,0.6358433803,-0.0008300859155,0.3375556138
18,60,14,180,3.5,1.25,1.5,0,True,,5.830865832000001,93.82746654,0.6057379998,0.9549836838,9.463890124,0.05231349184,0.5069070907,-0.001172978932,0.3384217769
19,60,15,140,2.5,0.75,0.5,2,False,measured FR clearance did not reach 5 mm|clearance,4.95145646,91.51764626,0.4593981752,0.8847787107,9.74341661,0.06977586484,0.8088331093,-0.006748541271,0.3433097126
20,60,15,140,2.5,0.75,1.0,2,False,measured FR clearance did not reach 5 mm|clearance,4.95145646,91.51764626,0.4593981752,0.8847787107,9.74341661,0.06977586484,0.8088331093,-0.006748541271,0.3433097126
21,60,15,140,2.5,0.75,1.5,0,True,,5.420050143,88.96988784999999,0.7256999594,1.246031827,9.888433474,0.07085093893,0.6532454079,-0.001803863794,0.3445396581
22,60,15,140,2.5,1.0,0.5,2,False,measured FR clearance did not reach 5 mm|clearance,4.614632569,91.55868036000001,0.4542678157,0.8814746215,9.743704357,0.06931993191,0.8088331093,-0.0007467373814,0.3433142408
23,60,15,140,2.5,1.0,1.0,2,False,measured FR clearance did not reach 5 mm|clearance,4.614632569,91.55868036000001,0.4542678157,0.8814746215,9.743704357,0.06931993191,0.8088331093,-0.0007467373814,0.3433142408
24,60,15,140,2.5,1.0,1.5,0,True,,5.354783618,89.26355226,0.712471288,1.223619881,9.792545134,0.06980191061,0.6532454079,-0.001256203858,0.3445416808
25,60,15,140,2.5,1.25,0.5,2,False,measured FR clearance did not reach 5 mm|clearance,4.57117625,91.51670641999999,0.4533481646,0.8829432636,9.74388131,0.06932124426,0.8088331093,-0.0007834534653,0.3433157746
26,60,15,140,2.5,1.25,1.0,2,False,measured FR clearance did not reach 5 mm|clearance,4.57117625,91.51670641999999,0.4533481646,0.8829432636,9.74388131,0.06932124426,0.8088331093,-0.0007834534653,0.3433157746
27,60,15,140,2.5,1.25,1.5,0,True,,5.321344722,89.35901312,0.7080061877,1.216095451,9.792521231,0.06966809584,0.6532454079,-0.001055536932,0.3445423164
28,60,15,180,3.5,0.75,0.5,0,True,,6.443470584,92.88604966,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01506899617,0.3375551313
29,60,15,180,3.5,0.75,1.0,0,True,,6.443470584,92.88604966,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01506899617,0.3375551313
30,60,15,180,3.5,0.75,1.5,0,True,,6.966557703,93.67049627,0.6226549924,0.9821066668,9.585644735,0.05352106254,0.5069070907,-0.001328700758,0.3384210836
31,60,15,180,3.5,1.0,0.5,0,True,,6.431499872,92.95294873,0.3575134135,0.6555842647,9.434087361,0.05218948694,0.6358433803,-0.005071630966,0.3375553875
32,60,15,180,3.5,1.0,1.0,0,True,,6.431499872,92.95294873,0.3575134135,0.6555842647,9.434087361,0.05218948694,0.6358433803,-0.005071630966,0.3375553875
33,60,15,180,3.5,1.0,1.5,0,True,,6.893971034000001,93.7518457,0.6102364222,0.9622531975,9.463862954,0.05263000048,0.5069070907,-0.001539031958,0.3384219041
34,60,15,180,3.5,1.25,0.5,0,True,,6.418295948,92.98140165000001,0.3558036494,0.6532876445,9.434116936,0.05214606008,0.6358433803,-0.0007616195877,0.3375555114
35,60,15,180,3.5,1.25,1.0,0,True,,6.418295948,92.98140165000001,0.3558036494,0.6532876445,9.434116936,0.05214606008,0.6358433803,-0.0007616195877,0.3375555114
36,60,15,180,3.5,1.25,1.5,0,True,,6.817535758,93.79686918,0.6057379998,0.9549836838,9.46388104,0.05231343424,0.5069070907,-0.001214394908,0.338421845
37,60,16,140,2.5,0.75,0.5,0,True,,5.917216833,91.51764626,0.4593981752,0.8847787107,9.743426699,0.06977586484,0.8088331093,-0.01136848118,0.3433091766
