time_s,state,roll_rad,pitch_rad,yaw_rad,body_x_m,body_y_m,body_z_m,com_x_m,com_y_m,support_margin_m,fr_foot_z_m,fr_lift_m,fl_force_n,fr_force_n,hl_force_n,hr_force_n,fr_q0,fr_q1,fr_q2,fr_qd0,fr_qd1,fr_qd2,max_abs_tau_nm,ik_residual_m
0.00100000,STAND,-0.00000000,0.00000000,-0.00000000,-0.00000005,0.00000000,0.32207985,-0.00808194,0.00015434,0.00561763,0.02200000,0.00000000,1.90705027,1.90764202,1.90759593,1.90748280,0.00000017,-0.77301032,1.50056172,0.00000000,-0.77297953,1.50050035,0.00000000,0.00000000
0.01000000,STAND,-0.00000001,0.00017825,0.00000020,-0.00001719,0.00000002,0.32163833,-0.00809981,0.00015435,0.00564358,0.02188219,0.00000000,14.09877161,14.10510326,12.00007396,12.00055844,0.00016273,-0.77382972,1.50278039,0.00000000,-0.77297953,1.50050035,1.50133737,0.00000000
0.02000000,STAND,-0.00000070,0.00080117,0.00000154,-0.00009697,0.00000019,0.32063088,-0.00817833,0.00015446,0.00573180,0.02147187,0.00000000,26.24020588,26.23568151,20.54231764,20.54416288,0.00073156,-0.77502626,1.50729726,0.00000000,-0.77297953,1.50050035,2.93488896,0.00000000
0.03000000,STAND,-0.00000238,0.00169486,0.00000497,-0.00027282,0.00000067,0.31942109,-0.00834951,0.00015483,0.00587862,0.02104495,0.00000000,39.14521017,39.12443160,29.35800328,29.36253481,0.00148013,-0.77654186,1.51354284,0.00000000,-0.77297953,1.50050035,4.53930682,0.00000000
0.04000000,STAND,-0.00000561,0.00261335,0.00001107,-0.00057202,0.00000161,0.31833663,-0.00863694,0.00015560,0.00608704,0.02072378,0.00000000,43.61122661,43.57562317,33.00870336,33.00992722,0.00231460,-0.77753398,1.51956062,0.00000000,-0.77297953,1.50050035,5.26862777,0.00000000
0.05000000,STAND,-0.00001036,0.00322667,0.00001950,-0.00098623,0.00000306,0.31751472,-0.00903021,0.00015683,0.00635851,0.02047867,0.00000000,43.42042988,43.36009010,34.10271852,34.09913048,0.00317960,-0.77755697,1.52384395,0.00000000,-0.77297953,1.50050035,5.41200543,0.00000000
0.06000000,STAND,-0.00001602,0.00333115,0.00002930,-0.00149184,0.00000496,0.31696881,-0.00950722,0.00015847,0.00668411,0.02033005,0.00000000,40.95582507,40.87018491,34.44670060,34.43668048,0.00398844,-0.77685170,1.52626127,0.00000000,-0.77297953,1.50050035,5.25435517,0.00000000
0.07000000,STAND,-0.00002198,0.00293586,0.00003932,-0.00206374,0.00000716,0.31666089,-0.01004539,0.00016043,0.00705068,0.02028001,0.00000000,37.44481477,37.33639322,34.39641472,34.37835545,0.00469137,-0.77568282,1.52713093,0.00000000,-0.77297953,1.50050035,4.94943779,0.00000000
0.08000000,STAND,-0.00002774,0.00216191,0.00004854,-0.00267736,0.00000950,0.31653007,-0.01062282,0.00016254,0.00744343,0.02031044,0.00000000,33.74856473,33.62137611,34.20287570,34.17574238,0.00526903,-0.77426653,1.52691139,0.00000000,-0.77297953,1.50050035,4.60548584,0.00000000
0.09000000,STAND,-0.00003292,0.00116267,0.00005622,-0.00330964,0.00001181,0.31651096,-0.01121891,0.00016467,0.00784746,0.02039437,0.00000000,30.43180653,30.29055005,34.05683356,34.02040404,0.00572339,-0.77277216,1.52606105,0.00000000,-0.77297953,1.50050035,4.64160619,0.00000000
