time_s,state,roll_rad,pitch_rad,yaw_rad,body_x_m,body_y_m,body_z_m,com_x_m,com_y_m,support_margin_m,fr_foot_z_m,fr_lift_m,fl_force_n,fr_force_n,hl_force_n,hr_force_n,fr_q0,fr_q1,fr_q2,fr_qd0,fr_qd1,fr_qd2,max_abs_tau_nm,ik_residual_m
0.00100000,STAND,-0.00000000,0.00000000,-0.00000000,-0.00000005,0.00000000,0.32207985,-0.00776960,0.00014837,0.00540261,0.02200000,0.00000000,1.90709820,1.90769008,1.90764409,1.90753097,0.00000017,-0.77301033,1.50056173,0.00000000,-0.77297953,1.50050035,0.00000000,0.00000000
0.01000000,STAND,-0.00000001,0.00017968,0.00000019,-0.00001652,0.00000002,0.32163512,-0.00778684,0.00014838,0.00542813,0.02188171,0.00000000,14.22630116,14.23301490,12.10632486,12.10675756,0.00016530,-0.77383958,1.50279845,0.00000000,-0.77297953,1.50050035,1.51627105,0.00000000
0.02000000,STAND,-0.00000066,0.00081417,0.00000147,-0.00009368,0.00000018,0.32061197,-0.00786302,0.00014849,0.00551502,0.02146711,0.00000000,26.74529107,26.74178952,20.90809992,20.91001804,0.00074707,-0.77507396,1.50739928,0.00000000,-0.77297953,1.50050035,2.99174771,0.00000000
0.03000000,STAND,-0.00000226,0.00173839,0.00000482,-0.00026521,0.00000063,0.31937082,-0.00803049,0.00014884,0.00565964,0.02103330,0.00000000,40.25100704,40.23268473,30.13503219,30.13985170,0.00151742,-0.77667006,1.51383903,0.00000000,-0.77297953,1.50050035,4.66866598,0.00000000
0.04000000,STAND,-0.00000539,0.00271118,0.00001081,-0.00055931,0.00000152,0.31824158,-0.00831376,0.00014956,0.00586549,0.02069932,0.00000000,45.22167361,45.18905902,34.07179165,34.07356518,0.00238725,-0.77775257,1.52012029,0.00000000,-0.77297953,1.50050035,5.46119553,0.00000000
0.05000000,STAND,-0.00001004,0.00338913,0.00001916,-0.00096931,0.00000291,0.31736883,-0.00870393,0.00015074,0.00613546,0.02043693,0.00000000,45.42254830,45.36561400,35.39893865,35.39629914,0.00329971,-0.77785611,1.52468499,0.00000000,-0.77297953,1.50050035,5.65514080,0.00000000
0.06000000,STAND,-0.00001563,0.00355344,0.00002894,-0.00147339,0.00000475,0.31677505,-0.00918049,0.00015234,0.00646166,0.02027077,0.00000000,43.16506242,43.08289539,35.88038724,35.87161657,0.00416310,-0.77720597,1.52735201,0.00000000,-0.77297953,1.50050035,5.52691406,0.00000000
0.07000000,STAND,-0.00002156,0.00320141,0.00003902,-0.00204761,0.00000690,0.31642901,-0.00972186,0.00015426,0.00683158,0.02020621,0.00000000,39.67950731,39.57425884,35.87620894,35.85954724,0.00492219,-0.77605830,1.52840415,0.00000000,-0.77297953,1.50050035,5.22973851,0.00000000
0.08000000,STAND,-0.00002733,0.00244704,0.00004836,-0.00266794,0.00000922,0.31627316,-0.01030658,0.00015636,0.00723068,0.02022716,0.00000000,35.86271395,35.73810968,35.65960501,35.63382170,0.00555275,-0.77462888,1.52828413,0.00000000,-0.77297953,1.50050035,4.87569502,0.00000000
0.09000000,STAND,-0.00003259,0.00144215,0.00005621,-0.00331139,0.00001154,0.31624226,-0.01091409,0.00015849,0.00764399,0.02030727,0.00000000,32.33161100,32.19217011,35.44894525,35.41361337,0.00605323,-0.77309224,1.52745313,0.00000000,-0.77297953,1.50050035,4.82811558,0.00000000
0.10000000,STAND,-0.00003708,0.00033043,0.00006214,-0.00395713,0.00001372,0.31627647,-0.01152549,0.00016052,0.00805750,0.02041887,0.00000000,29.44053305,29.29095820,35.38391110,35.33948297,0.00643721,-0.77158165,1.52630964,0.00000000,-0.77297953,1.50050035,4.88311709,0.00000000
0.11000000,STAND,-0.00004066,-0.00077485,0.00006605,-0.00458718,0.00001564,0.31632890,-0.01212427,0.00016234,0.00845911,0.02053840,0.00000000,27.32391396,27.16863415,35.52282854,35.47055614,0.00672635,-0.77018990,1.52514993,0.00000000,-0.77297953,1.50050035,4.96102109,0.00000000
0.12000000,STAND,-0.00004326,-0.00179732,0.00006810,-0.00518686,0.00001723,0.31636843,-0.01269661,0.00016387,0.00883914,0.02064891,0.00000000,25.95622317,25.79909889,35.85711535,35.79886411,0.00694457,-0.76897294,1.52415967,0.00000000,-0.77297953,1.50050035,5.05997048,0.00000000
0.13000000,STAND,-0.00004491,-0.00269476,0.00006862,-0.00574472,0.00001844,0.31637902,-0.01323150,0.00016506,0.00919034,0.02074045,0.00000000,25.21521271,25.05938981,36.33396336,36.27196992,0.00711403,-0.76795622,1.52342623,0.00000000,-0.77297953,1.50050035,5.17214481,0.00000000
0.14000000,STAND,-0.00004568,-0.00345166,0.00006803,-0.00625236,0.00001926,0.31635683,-0.01372058,0.00016589,0.00950766,0.02080911,0.00000000,24.93745666,24.78533747,36.87980301,36.81642230,0.00725285,-0.76714265,1.52296210,0.00000000,-0.77297953,1.50050035,5.28709939,0.00000000
0.15000000,STAND,-0.00004567,-0.00407055,0.00006675,-0.00670391,0.00001972,0.31630634,-0.01415784,0.00016638,0.00978788,0.02085547,0.00000000,24.95988415,24.81317722,37.41972593,37.35720295,0.00737433,-0.76652071,1.52273146,0.00000000,-0.77297953,1.50050035,5.39441970,0.00000000
0.16000000,STAND,-0.00004501,-0.00456400,0.00006513,-0.00709567,0.00001983,0.31623664,-0.01453928,0.00016653,0.01002922,0.02088282,0.00000000,25.14556273,25.00537517,37.89066725,37.83095660,0.00748725,-0.76607139,1.52267448,0.00000000,-0.77297953,1.50050035,5.48547735,0.00000000
0.17000000,STAND,-0.00004382,-0.00494842,0.00006346,-0.00742565,0.00001964,0.31615820,-0.01486254,0.00016640,0.01023094,0.02089566,0.00000000,25.39534242,25.26228665,38.24819658,38.19284113,0.00759664,-0.76577346,1.52272619,0.00000000,-0.77297953,1.50050035,5.55431349,0.00000000
0.18000000,STAND,-0.00004224,-0.00523991,0.00006193,-0.00769321,0.00001921,0.31608068,-0.01512667,0.00016603,0.01039314,0.02089854,0.00000000,25.64879622,25.52309254,38.46802943,38.41809925,0.00770493,-0.76560678,1.52282911,0.00000000,-0.77297953,1.50050035,5.59781782,0.00000000
0.19000000,STAND,-0.00004038,-0.00545197,0.00006063,-0.00789891,0.00001858,0.31601160,-0.01533184,0.00016546,0.01051652,0.02089536,0.00000000,25.87839142,25.75995657,38.54390705,38.49999228,0.00781296,-0.76555397,1.52293977,0.00000000,-0.77297953,1.50050035,5.61542662,0.00000000
0.20000000,STAND,-0.00003837,-0.00559477,0.00005959,-0.00804423,0.00001782,0.31595579,-0.01547926,0.00016476,0.01060231,0.02088900,0.00000000,26.08043579,25.96895448,38.48350094,38.44574744,0.00792081,-0.76560071,1.52303058,0.00000000,-0.77297953,1.50050035,5.60855894,0.00000000
0.21000000,STAND,-0.00003628,-0.00567543,0.00005879,-0.00813155,0.00001697,0.31591556,-0.01557101,0.00016396,0.01065222,0.02088130,0.00000000,26.26550469,26.16048523,38.30370241,38.27187713,0.00802843,-0.76573532,1.52308841,0.00000000,-0.77297953,1.50050035,5.57996984,0.00000000
0.22000000,STAND,-0.00003421,-0.00569877,0.00005817,-0.00816404,0.00001607,0.31589103,-0.01560998,0.00016312,0.01066836,0.02087318,0.00000000,26.45010270,26.35092024,38.02624383,37.99981675,0.00813595,-0.76594789,1.52311131,0.00000000,-0.77297953,1.50050035,5.53314615,0.00000000
0.23000000,STAND,-0.00003223,-0.00566842,0.00005766,-0.00814560,0.00001518,0.31588084,-0.01559978,0.00016227,0.01065328,0.02086491,0.00000000,26.65045159,26.55638290,37.67418825,37.65241961,0.00824382,-0.76622935,1.52310470,0.00000000,-0.77297953,1.50050035,5.47181700,0.00000000
0.24000000,STAND,-0.00003040,-0.00558766,0.00005723,-0.00808075,0.00001433,0.31588271,-0.01554466,0.00016145,0.01060988,0.02085635,0.00000000,26.87862424,26.78887767,37.26948661,37.25151045,0.00835277,-0.76657077,1.52307773,0.00000000,-0.77297953,1.50050035,5.39960683,0.00000000
0.25000000,STAND,-0.00002876,-0.00546016,0.00005681,-0.00797460,0.00001353,0.31589399,-0.01544942,0.00016068,0.01054141,0.02084720,0.00000000,27.14079190,27.05453497,36.83156127,36.81645920,0.00846371,-0.76696282,1.52304043,0.00000000,-0.77297953,1.50050035,5.31982642,0.00000000
0.26000000,STAND,-0.00002734,-0.00529040,0.00005639,-0.00783268,0.00001282,0.31591205,-0.01531930,0.00016000,0.01045134,0.02083712,0.00000000,27.43710356,27.35348967,36.37673134,36.36359315,0.00857757,-0.76739558,1.52300170,0.00000000,-0.77297953,1.50050035,5.23537798,0.00000000
0.27000000,STAND,-0.00002616,-0.00508383,0.00005595,-0.00766084,0.00001222,0.31593455,-0.01515986,0.00015941,0.01034337,0.02082591,0.00000000,27.76263503,27.68082949,35.91823456,35.90620452,0.00869515,-0.76785853,1.52296824,0.00000000,-0.77297953,1.50050035,5.14874186,0.00000000
0.28000000,STAND,-0.00002523,-0.00484678,0.00005550,-0.00746511,0.00001172,0.31595953,-0.01497680,0.00015892,0.01022127,0.02081353,0.00000000,28.10888090,28.02808583,35.46660091,35.45491015,0.00881703,-0.76834081,1.52294423,0.00000000,-0.77297953,1.50050035,5.06201221,0.00000000
0.29000000,STAND,-0.00002456,-0.00458625,0.00005505,-0.00725154,0.00001134,0.31598546,-0.01477592,0.00015854,0.01008882,0.02080008,0.00000000,28.46536845,28.38484564,35.03017188,35.01815843,0.00894350,-0.76883150,1.52293150,0.00000000,-0.77297953,1.50050035,4.97695398,0.00000000
0.30000000,STAND,-0.00002413,-0.00430960,0.00005463,-0.00702611,0.00001107,0.31601121,-0.01456291,0.00015827,0.00994974,0.02078581,0.00000000,28.82110581,28.74019643,34.61561656,34.60273523,0.00907450,-0.76931999,1.52292998,0.00000000,-0.77297953,1.50050035,4.89506141,0.00000000
0.31000000,STAND,-0.00002392,-0.00402426,0.00005425,-0.00679456,0.00001091,0.31603595,-0.01434327,0.00015811,0.00980758,0.02077105,0.00000000,29.16570613,29.08384633,34.22835577,34.21418008,0.00920967,-0.76979628,1.52293833,0.00000000,-0.77297953,1.50050035,4.81760617,0.00000000
0.32000000,STAND,-0.00002392,-0.00373738,0.00005393,-0.00656229,0.00001086,0.31605909,-0.01412219,0.00015804,0.00966568,0.02075619,0.00000000,29.49013671,29.40686836,33.87285677,33.85707505,0.00934839,-0.77025133,1.52295451,0.00000000,-0.77297953,1.50050035,4.74566994,0.00000000
0.33000000,STAND,-0.00002410,-0.00345564,0.00005369,-0.00633430,0.00001089,0.31608021,-0.01390448,0.00015806,0.00952710,0.02074162,0.00000000,29.78711725,29.70209358,33.55279984,33.53520742,0.00948978,-0.77067720,1.52297627,0.00000000,-0.77297953,1.50050035,4.68016188,0.00000000
0.34000000,STAND,-0.00002442,-0.00318505,0.00005353,-0.00611506,0.00001100,0.31609901,-0.01369447,0.00015816,0.00939456,0.02072771,0.00000000,30.05123497,29.96422107,33.27114149,33.25163040,0.00963284,-0.77106726,1.52300144,0.00000000,-0.77297953,1.50050035,4.62182392,0.00000000
0.35000000,STAND,-0.00002485,-0.00293078,0.00005345,-0.00590850,0.00001118,0.31611525,-0.01349597,0.00015832,0.00927043,0.02071475,0.00000000,30.27886136,30.18972998,33.03010939,33.00865663,0.00977643,-0.77141620,1.52302818,0.00000000,-0.77297953,1.50050035,4.57122874,0.00000000
0.36000000,STAND,-0.00002536,-0.00269718,0.00005345,-0.00571795,0.00001140,0.31612872,-0.01331224,0.00015852,0.00915671,0.02070302,0.00000000,30.46795201,30.37667533,32.83116488,32.80782017,0.00991939,-0.77172010,1.52305506,0.00000000,-0.77297953,1.50050035,4.52877501,0.00000000
0.37000000,STAND,-0.00002592,-0.00248767,0.00005351,-0.00554612,0.00001166,0.31613930,-0.01314595,0.00015876,0.00905499,0.02069270,0.00000000,30.61779717,30.52443531,32.67496283,32.64983626,0.01006055,-0.77197634,1.52308104,0.00000000,-0.77297953,1.50050035,4.49468372,0.00000000
0.38000000,STAND,-0.00002650,-0.00230485,0.00005363,-0.00539511,0.00001194,0.31614688,-0.01299919,0.00015902,0.00896648,0.02068390,0.00000000,30.72877057,30.63345784,32.56132993,32.53457985,0.01019879,-0.77218360,1.52310540,0.00000000,-0.77297953,1.50050035,4.46899825,0.00000000
0.39000000,STAND,-0.00002707,-0.00215044,0.00005378,-0.00526641,0.00001222,0.31615140,-0.01287345,0.00015929,0.00889202,0.02067670,0.00000000,30.80210510,30.70503480,32.48927281,32.46109425,0.01033305,-0.77234167,1.52312772,0.00000000,-0.77297953,1.50050035,4.45158968,0.00000000
0.40000000,STAND,-0.00002762,-0.00202541,0.00005396,-0.00516089,0.00001250,0.31615287,-0.01276966,0.00015956,0.00883206,0.02067112,0.00000000,30.83970728,30.74111612,32.45701958,32.42763327,0.01046237,-0.77245145,1.52314775,0.00000000,-0.77297953,1.50050035,4.44216740,0.00000000
