time_s,state,roll_rad,pitch_rad,yaw_rad,body_x_m,body_y_m,body_z_m,com_x_m,com_y_m,support_margin_m,fr_foot_z_m,fr_lift_m,fl_force_n,fr_force_n,hl_force_n,hr_force_n,fr_q0,fr_q1,fr_q2,fr_qd0,fr_qd1,fr_qd2,max_abs_tau_nm,ik_residual_m
0.00100000,STAND,-0.00000000,0.00000000,-0.00000000,-0.00000005,0.00000000,0.32207985,-0.00842045,0.00016080,0.00585067,0.02200000,0.00000000,1.90699794,1.90758955,1.90754335,1.90743021,0.00000017,-0.77301031,1.50056170,0.00000000,-0.77297953,1.50050035,0.00000000,0.00000000
0.01000000,STAND,-0.00000002,0.00017633,0.00000021,-0.00001789,0.00000002,0.32164163,-0.00843895,0.00016081,0.00587716,0.02188209,0.00000000,13.90248086,13.90843085,11.83905379,11.83956761,0.00016045,-0.77381568,1.50275521,0.00000000,-0.77297953,1.50050035,1.48015472,0.00000000
0.02000000,STAND,-0.00000075,0.00078399,0.00000160,-0.00010003,0.00000021,0.32064879,-0.00851946,0.00016094,0.00596704,0.02147200,0.00000000,25.57550230,25.56996394,20.07496736,20.07666903,0.00071754,-0.77496080,1.50715890,0.00000000,-0.77297953,1.50050035,2.86056750,0.00000000
0.03000000,STAND,-0.00000253,0.00164288,0.00000511,-0.00027938,0.00000072,0.31946625,-0.00869345,0.00016133,0.00611612,0.02104478,0.00000000,37.82771606,37.80511598,28.49075194,28.49477827,0.00144622,-0.77638316,1.51317935,0.00000000,-0.77297953,1.50050035,4.38753854,0.00000000
0.04000000,STAND,-0.00000587,0.00250813,0.00001129,-0.00058200,0.00000171,0.31841828,-0.00898333,0.00016214,0.00632672,0.02072519,0.00000000,41.79409135,41.75607637,31.84987982,31.85019794,0.00225142,-0.77727043,1.51890780,0.00000000,-0.77297953,1.50050035,5.05338817,0.00000000
0.05000000,STAND,-0.00001074,0.00306222,0.00001976,-0.00099773,0.00000322,0.31763453,-0.00937706,0.00016341,0.00659885,0.02048509,0.00000000,41.31565014,41.25275951,32.78550543,32.78058694,0.00307782,-0.77721274,1.52291345,0.00000000,-0.77297953,1.50050035,5.15761337,0.00000000
0.06000000,STAND,-0.00001650,0.00311773,0.00002955,-0.00150153,0.00000517,0.31712150,-0.00985131,0.00016510,0.00692258,0.02034266,0.00000000,38.76686233,38.67887755,33.05637239,33.04469083,0.00384300,-0.77646425,1.52511355,0.00000000,-0.77297953,1.50050035,4.98480150,0.00000000
0.07000000,STAND,-0.00002253,0.00269331,0.00003950,-0.00206749,0.00000741,0.31683707,-0.01038284,0.00016709,0.00728430,0.02029786,0.00000000,35.33615697,35.22587142,33.00150539,32.98163738,0.00450173,-0.77529245,1.52584931,0.00000000,-0.77297953,1.50050035,4.68446086,0.00000000
0.08000000,STAND,-0.00002832,0.00191284,0.00004861,-0.00267083,0.00000977,0.31671921,-0.01094960,0.00016922,0.00766920,0.02033134,0.00000000,31.82858291,31.70019270,32.84837246,32.81950197,0.00503840,-0.77390928,1.52557989,0.00000000,-0.77297953,1.50050035,4.41718613,0.00000000
0.09000000,STAND,-0.00003350,0.00092759,0.00005617,-0.00328875,0.00001209,0.31670379,-0.01153122,0.00017134,0.00806268,0.02041576,0.00000000,28.75034628,28.60863227,32.76159913,32.72371403,0.00545741,-0.77247532,1.52474884,0.00000000,-0.77297953,1.50050035,4.46648618,0.00000000
0.10000000,STAND,-0.00003783,-0.00012681,0.00006181,-0.00390118,0.00001421,0.31673590,-0.01210958,0.00017332,0.00845147,0.02052426,0.00000000,26.35117714,26.20090865,32.83091851,32.78481958,0.00577514,-0.77110515,1.52371535,0.00000000,-0.77297953,1.50050035,4.53261717,0.00000000
0.11000000,STAND,-0.00004119,-0.00114897,0.00006547,-0.00449133,0.00001603,0.31677544,-0.01266916,0.00017504,0.00882445,0.02063528,0.00000000,24.68419418,24.52971579,33.07639598,33.02357264,0.00601330,-0.76987267,1.52272803,0.00000000,-0.77297953,1.50050035,4.61809955,0.00000000
0.12000000,STAND,-0.00004354,-0.00207492,0.00006734,-0.00504572,0.00001749,0.31679816,-0.01319729,0.00017645,0.00917292,0.02073435,0.00000000,23.67384493,23.51883625,33.46649681,33.40892096,0.00619390,-0.76881785,1.52192757,0.00000000,-0.77297953,1.50050035,4.71797787,0.00000000
0.13000000,STAND,-0.00004491,-0.00287289,0.00006776,-0.00555415,0.00001855,0.31679367,-0.01368406,0.00017749,0.00949051,0.02081381,0.00000000,23.17882372,23.02620367,33.94059198,33.88047790,0.00633613,-0.76795477,1.52136645,0.00000000,-0.77297953,1.50050035,4.82333632,0.00000000
0.14000000,STAND,-0.00004540,-0.00353466,0.00006714,-0.00600926,0.00001921,0.31676186,-0.01412209,0.00017817,0.00977291,0.02087156,0.00000000,23.04143553,22.89337076,34.42954724,34.36911765,0.00645493,-0.76727990,1.52103560,0.00000000,-0.77297953,1.50050035,4.92428510,0.00000000
0.15000000,STAND,-0.00004513,-0.00406667,0.00006587,-0.00640615,0.00001951,0.31670897,-0.01450627,0.00017850,0.01001750,0.02090923,0.00000000,23.12018303,22.97815951,34.87091957,34.81220642,0.00656079,-0.76677942,1.52089072,0.00000000,-0.77297953,1.50050035,5.01206936,0.00000000
0.16000000,STAND,-0.00004422,-0.00448255,0.00006428,-0.00674192,0.00001947,0.31664406,-0.01483339,0.00017852,0.01022295,0.02093050,0.00000000,23.30652899,23.17145291,35.21778496,35.16248168,0.00666033,-0.76643507,1.52087404,0.00000000,-0.77297953,1.50050035,5.08025219,0.00000000
0.17000000,STAND,-0.00004282,-0.00479777,0.00006263,-0.00701537,0.00001915,0.31657635,-0.01510187,0.00017826,0.01038898,0.02093966,0.00000000,23.52922907,23.40153306,35.44190062,35.39127228,0.00675727,-0.76622797,1.52092959,0.00000000,-0.77297953,1.50050035,5.12511236,0.00000000
0.18000000,STAND,-0.00004107,-0.00502650,0.00006108,-0.00722664,0.00001860,0.31651359,-0.01531148,0.00017778,0.01051607,0.02094076,0.00000000,23.75047021,23.63021109,35.53273477,35.48758334,0.00685341,-0.76614084,1.52101208,0.00000000,-0.77297953,1.50050035,5.14548262,0.00000000
0.19000000,STAND,-0.00003908,-0.00518018,0.00005974,-0.00737706,0.00001789,0.31646116,-0.01546321,0.00017713,0.01060539,0.02093700,0.00000000,23.95777008,23.84471213,35.49406630,35.45474298,0.00694952,-0.76615869,1.52109040,0.00000000,-0.77297953,1.50050035,5.14226312,0.00000000
