time_s,state,roll_rad,pitch_rad,yaw_rad,body_x_m,body_y_m,body_z_m,com_x_m,com_y_m,support_margin_m,fr_foot_z_m,fr_lift_m,fl_force_n,fr_force_n,hl_force_n,hr_force_n,fr_q0,fr_q1,fr_q2,fr_qd0,fr_qd1,fr_qd2,max_abs_tau_nm,ik_residual_m
0.00100000,STAND,-0.00002558,-0.00000172,0.00000136,0.00000010,-0.00000103,0.32208156,-0.00842045,0.00016080,0.00585067,0.02200000,0.00000000,10.43943668,2.07400922,8.46469539,4.92442315,-0.00009511,-0.77313192,1.50071086,0.00000000,-0.77297953,1.50050035,1.56255428,0.00000000
0.01000000,STAND,-0.00031813,0.00008871,0.00003879,-0.00000984,-0.00003105,0.32169726,-0.00843463,0.00014141,0.00586853,0.02188010,0.00000000,17.66628890,11.93123007,14.24860380,12.65945237,-0.00133522,-0.77525718,1.50294352,0.00000000,-0.77297953,1.50050035,2.15848484,0.00000000
0.02000000,STAND,-0.00047874,0.00048349,0.00008579,-0.00006932,-0.00009338,0.32080505,-0.00849488,0.00008884,0.00593725,0.02152585,0.00000000,29.89664238,22.69793344,22.66776942,21.11963421,-0.00186113,-0.77744820,1.50733370,0.00000000,-0.77297953,1.50050035,3.53819712,0.00000000
0.03000000,STAND,-0.00038960,0.00114206,0.00012985,-0.00021520,-0.00018645,0.31975696,-0.00863743,0.00000575,0.00603712,0.02113200,0.00000000,39.96159637,33.90021168,29.56734593,29.16381183,-0.00181154,-0.77944231,1.51295104,0.00000000,-0.77297953,1.50050035,4.84370525,0.00000000
0.04000000,STAND,-0.00021912,0.00185379,0.00015705,-0.00047007,-0.00030554,0.31884260,-0.00888195,-0.00010360,0.00616759,0.02084831,0.00000000,42.42040003,38.47776141,31.48758357,32.34639880,-0.00157866,-0.78082948,1.51840533,0.00000000,-0.77297953,1.50050035,5.29776521,0.00000000
0.05000000,STAND,-0.00001067,0.00227919,0.00015811,-0.00082417,-0.00043808,0.31816998,-0.00921721,-0.00022706,0.00634481,0.02063898,0.00000000,41.29911626,38.57262569,31.69299953,33.43478951,-0.00128732,-0.78131523,1.52229928,0.00000000,-0.77297953,1.50050035,5.29498558,0.00000000
0.06000000,STAND,0.00023024,0.00225310,0.00012908,-0.00125636,-0.00057540,0.31774039,-0.00962362,-0.00035597,0.00656763,0.02050957,0.00000000,38.43368824,36.72647969,31.42353304,33.88345397,-0.00100746,-0.78111531,1.52452279,0.00000000,-0.77297953,1.50050035,5.05785410,0.00000000
0.07000000,STAND,0.00048182,0.00180121,0.00007104,-0.00174482,-0.00071087,0.31751259,-0.01008170,-0.00048385,0.00682830,0.02046071,0.00000000,34.88697064,34.05629812,30.96575607,33.99833264,-0.00078461,-0.78047277,1.52540174,0.00000000,-0.77297953,1.50050035,4.75687202,0.00000000
0.08000000,STAND,0.00072408,0.00103911,-0.00001088,-0.00226852,-0.00083901,0.31742866,-0.01057289,-0.00060538,0.00711718,0.02047704,0.00000000,31.39083288,31.28395885,30.52771511,33.98991088,-0.00063484,-0.77958257,1.52536116,0.00000000,-0.77297953,1.50050035,4.49313520,0.00000000
0.09000000,STAND,0.00094260,0.00010298,-0.00010877,-0.00280811,-0.00095540,0.31743010,-0.01108001,-0.00071630,0.00742410,0.02053602,0.00000000,28.39626838,28.85188507,30.25240869,34.00896363,-0.00055336,-0.77859377,1.52480209,0.00000000,-0.77297953,1.50050035,4.39040851,0.00000000
0.10000000,STAND,0.00112818,-0.00088773,-0.00021335,-0.00334656,-0.00105673,0.31746788,-0.01158772,-0.00081340,0.00773934,0.02061543,0.00000000,26.11329225,26.96941344,30.20861482,34.13668904,-0.00052366,-0.77761403,1.52404278,0.00000000,-0.77297953,1.50050035,4.46934354,0.00000000
0.11000000,STAND,0.00127565,-0.00184561,-0.00031531,-0.00386958,-0.00114080,0.31750705,-0.01208287,-0.00089451,0.00805428,0.02069762,0.00000000,24.57001278,25.67139489,30.39911263,34.39097424,-0.00052496,-0.77671423,1.52329870,0.00000000,-0.77297953,1.50050035,4.56224434,0.00000000
0.12000000,STAND,0.00138292,-0.00271714,-0.00040637,-0.00436570,-0.00120646,0.31752731,-0.01255468,-0.00095847,0.00836172,0.02077100,0.00000000,23.67827410,24.88238096,30.77988413,34.74402888,-0.00053741,-0.77593465,1.52268788,0.00000000,-0.77297953,1.50050035,4.66422178,0.00000000
0.13000000,STAND,0.00145030,-0.00347717,-0.00047999,-0.00482612,-0.00125351,0.31752079,-0.01299459,-0.00100501,0.00865582,0.02082976,0.00000000,23.29314787,24.47452658,31.28226640,35.14344673,-0.00054516,-0.77529225,1.52225093,0.00000000,-0.77297953,1.50050035,4.76718111,0.00000000
0.14000000,STAND,0.00147988,-0.00412082,-0.00053175,-0.00524439,-0.00128257,0.31748865,-0.01339616,-0.00103463,0.00893200,0.02087266,0.00000000,23.25859334,24.31174362,31.83233803,35.53091528,-0.00053754,-0.77478821,1.52197620,0.00000000,-0.77297953,1.50050035,4.86251035,0.00000000
0.15000000,STAND,0.00147511,-0.00465526,-0.00055947,-0.00561604,-0.00129491,0.31743735,-0.01375474,-0.00104847,0.00918671,0.02090139,0.00000000,23.43678867,24.27769392,32.36465118,35.85558321,-0.00050899,-0.77441453,1.52182390,0.00000000,-0.77297953,1.50050035,4.94291203,0.00000000
0.16000000,STAND,0.00144046,-0.00509309,-0.00056304,-0.00593820,-0.00129231,0.31737554,-0.01406721,-0.00104814,0.00941720,0.02091911,0.00000000,23.72251000,24.28902511,32.82975305,36.08142093,-0.00045828,-0.77415920,1.52174546,0.00000000,-0.77297953,1.50050035,5.00336554,0.00000000
0.17000000,STAND,0.00138104,-0.00544777,-0.00054408,-0.00620936,-0.00127692,0.31731165,-0.01433176,-0.00103559,0.00962138,0.02092930,0.00000000,24.04607512,24.29736157,33.19642552,36.18940927,-0.00038724,-0.77400959,1.52169654,0.00000000,-0.77297953,1.50050035,5.04137422,0.00000000
0.18000000,STAND,0.00130238,-0.00573098,-0.00050560,-0.00642911,-0.00125108,0.31725255,-0.01454771,-0.00101301,0.00979774,0.02093498,0.00000000,24.36898946,24.28417299,33.45023688,36.17608211,-0.00029964,-0.77395428,1.52164411,0.00000000,-0.77297953,1.50050035,5.05672087,0.00000000
0.19000000,STAND,0.00121007,-0.00595164,-0.00045151,-0.00659799,-0.00121725,0.31720288,-0.01471534,-0.00098266,0.00994531,0.02093835,0.00000000,24.67603267,24.25224546,33.59005982,36.05003645,-0.00020008,-0.77398363,1.52156871,0.00000000,-0.77297953,1.50050035,5.05095455,0.00000000
0.20000000,STAND,0.00110957,-0.00611597,-0.00038621,-0.00671744,-0.00117786,0.31716506,-0.01483582,-0.00094680,0.01006366,0.02094073,0.00000000,24.96661648,24.21657854,33.62392026,35.82775743,-0.00009320,-0.77408955,1.52146333,0.00000000,-0.77297953,1.50050035,5.02679093,0.00000000
