time_s,state,roll_rad,pitch_rad,yaw_rad,body_x_m,body_y_m,body_z_m,com_x_m,com_y_m,support_margin_m,fr_foot_z_m,fr_lift_m,fl_force_n,fr_force_n,hl_force_n,hr_force_n,fr_q0,fr_q1,fr_q2,fr_qd0,fr_qd1,fr_qd2,max_abs_tau_nm,ik_residual_m
0.00100000,STAND,-0.00002136,0.00002265,0.00000690,-0.00000121,-0.00000044,0.32208203,-0.00842045,0.00016080,0.00585067,0.02200000,0.00000000,4.17142225,8.67574681,11.72205426,4.51265446,-0.00000262,-0.77295458,1.50052198,0.00000000,-0.77297953,1.50050035,1.78671981,0.00000000
0.01000000,STAND,-0.00004588,0.00016075,0.00002876,-0.00002331,0.00000121,0.32165066,-0.00844035,0.00016089,0.00597463,0.02193249,0.00000000,9.87589250,10.06180601,5.54231948,10.20552962,0.00023850,-0.77369015,1.50302416,0.00000000,-0.77297953,1.50050035,1.78968173,0.00000000
0.02000000,STAND,-0.00020554,0.00050813,-0.00008062,-0.00010286,-0.00001372,0.32067709,-0.00851641,0.00015074,0.00608233,0.02158050,0.00000000,23.06166888,17.64634233,23.35782316,16.39108559,0.00052980,-0.77497287,1.50730180,0.00000000,-0.77297953,1.50050035,2.75801553,0.00000000
0.03000000,STAND,0.00033067,0.00120895,-0.00020941,-0.00027720,-0.00003621,0.31949864,-0.00868386,0.00013222,0.00623968,0.02113702,0.00000000,42.42842400,44.06530929,28.35945011,28.83947875,0.00153918,-0.77660987,1.51335655,0.00000000,-0.77297953,1.50050035,4.99659894,0.00000000
0.04000000,STAND,0.00017493,0.00218643,-0.00018594,-0.00057673,-0.00006712,0.31847442,-0.00896923,0.00010306,0.00643393,0.02076934,0.00000000,35.01793139,45.67230196,36.69310016,37.99202231,0.00213144,-0.77719223,1.51869025,0.00000000,-0.77297953,1.50050035,5.03648177,0.00000000
0.05000000,STAND,0.00058976,0.00288178,-0.00018114,-0.00098077,-0.00007553,0.31772388,-0.00935231,0.00009181,0.00669260,0.02051418,0.00000000,44.91168565,47.00187068,35.82207960,49.02263769,0.00340846,-0.77702156,1.52270932,0.00000000,-0.77297953,1.50050035,6.22761784,0.00000000
0.06000000,STAND,0.00051653,0.00312002,-0.00021337,-0.00146573,-0.00008106,0.31721889,-0.00981163,0.00008818,0.00699851,0.02038983,0.00000000,42.57290186,28.62995911,26.54877936,32.01683569,0.00401090,-0.77639448,1.52530332,0.00000000,-0.77297953,1.50050035,5.69009541,0.00000000
0.07000000,STAND,0.00043921,0.00277574,-0.00031602,-0.00199796,-0.00009791,0.31693425,-0.01031402,0.00007279,0.00732673,0.02037413,0.00000000,39.16636037,25.44518259,39.32306037,37.93866172,0.00444366,-0.77541390,1.52638735,0.00000000,-0.77297953,1.50050035,5.47983852,0.00000000
0.08000000,STAND,0.00037727,0.00188389,-0.00036846,-0.00255282,-0.00010512,0.31680506,-0.01083633,0.00006593,0.00768322,0.02040868,0.00000000,28.71048756,27.19967592,39.04429795,35.24344471,0.00492287,-0.77425695,1.52604646,0.00000000,-0.77297953,1.50050035,4.99542136,0.00000000
0.09000000,STAND,0.00010392,0.00086062,-0.00040691,-0.00311956,-0.00010143,0.31675914,-0.01137140,0.00006624,0.00804636,0.02048329,0.00000000,29.42571426,26.92596048,37.35755128,25.45232542,0.00506349,-0.77301038,1.52515760,0.00000000,-0.77297953,1.50050035,5.21757343,0.00000000
0.10000000,STAND,0.00011780,-0.00034441,-0.00041596,-0.00367758,-0.00008977,0.31678202,-0.01189952,0.00007872,0.00841210,0.02058255,0.00000000,29.35779568,22.41810956,24.00818251,22.89156464,0.00541083,-0.77193512,1.52398510,0.00000000,-0.77297953,1.50050035,4.19358989,0.00000000
0.11000000,STAND,0.00002974,-0.00120135,-0.00045655,-0.00423219,-0.00008270,0.31684306,-0.01242017,0.00008444,0.00875695,0.02067681,0.00000000,22.70810270,21.19748286,35.44729412,38.70290180,0.00560452,-0.77048182,1.52286196,0.00000000,-0.77297953,1.50050035,5.21874926,0.00000000
0.12000000,STAND,0.00000438,-0.00189159,-0.00037422,-0.00476075,-0.00007065,0.31688388,-0.01292254,0.00009443,0.00909132,0.02075100,0.00000000,25.88870675,18.21304094,34.20104614,39.28335912,0.00588815,-0.76920590,1.52195010,0.00000000,-0.77297953,1.50050035,5.13415321,0.00000000
0.13000000,STAND,0.00009875,-0.00254703,-0.00031707,-0.00525531,-0.00004651,0.31689229,-0.01339426,0.00011436,0.00942283,0.02082425,0.00000000,17.91962327,31.68307253,41.29193529,32.45365035,0.00624944,-0.76818703,1.52138573,0.00000000,-0.77297953,1.50050035,5.60537209,0.00000000
0.14000000,STAND,0.00029904,-0.00307512,-0.00033578,-0.00570819,-0.00001464,0.31683815,-0.01382990,0.00014597,0.00972316,0.02086453,0.00000000,22.84653596,13.24200949,45.98674195,35.88283734,0.00673330,-0.76733960,1.52122255,0.00000000,-0.77297953,1.50050035,6.02377098,0.00000000
0.15000000,STAND,0.00021011,-0.00361191,-0.00031869,-0.00610640,-0.00000679,0.31676648,-0.01421491,0.00015370,0.00996358,0.02091853,0.00000000,25.62570931,29.78919417,28.93678386,37.77715729,0.00674271,-0.76695592,1.52126717,0.00000000,-0.77297953,1.50050035,5.76272902,0.00000000
0.16000000,STAND,0.00008544,-0.00416167,-0.00040649,-0.00643877,0.00001688,0.31670381,-0.01453829,0.00017737,0.01018277,0.02091986,0.00000000,29.33667686,25.17317639,39.00605432,24.84519639,0.00680808,-0.76643619,1.52082095,0.00000000,-0.77297953,1.50050035,4.80821757,0.00000000
0.17000000,STAND,-0.00005339,-0.00451037,-0.00054073,-0.00672326,0.00003832,0.31663046,-0.01481498,0.00019714,0.01036837,0.02093329,0.00000000,18.38558768,21.42057339,40.50698163,36.64672954,0.00675032,-0.76607468,1.52085551,0.00000000,-0.77297953,1.50050035,5.93071730,0.00000000
0.18000000,STAND,0.00005048,-0.00474814,-0.00067986,-0.00695581,0.00006113,0.31654327,-0.01504517,0.00022114,0.01053585,0.02095296,0.00000000,27.16945696,19.53732038,37.21833282,32.80948544,0.00695426,-0.76604761,1.52127721,0.00000000,-0.77297953,1.50050035,5.72024642,0.00000000
0.19000000,STAND,0.00000507,-0.00501475,-0.00069100,-0.00712532,0.00006356,0.31649207,-0.01521295,0.00022510,0.01063500,0.02096842,0.00000000,22.35710191,32.54047390,42.22620438,29.71514803,0.00699608,-0.76608480,1.52128480,0.00000000,-0.77297953,1.50050035,5.52061591,0.00000000
0.20000000,STAND,-0.00028812,-0.00506971,-0.00059983,-0.00725448,0.00005387,0.31648984,-0.01534223,0.00021789,0.01070432,0.02096085,0.00000000,16.76556330,17.99444561,32.29200725,37.96099651,0.00678861,-0.76591048,1.52104802,0.00000000,-0.77297953,1.50050035,5.88467721,0.00000000
0.21000000,STAND,-0.00021892,-0.00494969,-0.00057311,-0.00731291,0.00005739,0.31646550,-0.01540805,0.00021959,0.01073899,0.02097755,0.00000000,27.52574901,26.81556599,27.28968643,27.34587403,0.00695016,-0.76610322,1.52142148,0.00000000,-0.77297953,1.50050035,4.91185494,0.00000000
0.22000000,STAND,-0.00028741,-0.00492444,-0.00057378,-0.00731804,0.00005470,0.31647751,-0.01541950,0.00021790,0.01072770,0.02095797,0.00000000,32.64723780,23.83902865,32.01671795,36.07193063,0.00698443,-0.76616393,1.52114977,0.00000000,-0.77297953,1.50050035,4.95960997,0.00000000
0.23000000,STAND,-0.00022721,-0.00494518,-0.00042064,-0.00726302,0.00005067,0.31647733,-0.01537604,0.00021255,0.01067155,0.02096721,0.00000000,20.84826804,36.67437038,33.13908137,35.47393624,0.00726151,-0.76667249,1.52106797,0.00000000,-0.77297953,1.50050035,5.39485193,0.00000000
