time_s,state,roll_rad,pitch_rad,yaw_rad,body_x_m,body_y_m,body_z_m,com_x_m,com_y_m,support_margin_m,fr_foot_z_m,fr_lift_m,fl_force_n,fr_force_n,hl_force_n,hr_force_n,fr_q0,fr_q1,fr_q2,fr_qd0,fr_qd1,fr_qd2,max_abs_tau_nm,ik_residual_m
0.00100000,STAND,-0.00000000,0.00000000,-0.00000000,-0.00000005,0.00000000,0.32207985,-0.00842045,0.00016080,0.00585067,0.02200000,0.00000000,1.90699794,1.90758955,1.90754335,1.90743021,0.00000017,-0.77301031,1.50056170,0.00000000,-0.77297953,1.50050035,0.00000000,0.00000000
0.01000000,STAND,0.00000006,0.00004529,0.00000003,-0.00000586,0.00000000,0.32156761,-0.00843468,0.00016080,0.00586411,0.02195367,0.00000000,10.28704302,10.29040481,10.24900949,10.24843645,0.00003959,-0.77462140,1.50381716,0.00000000,-0.77297953,1.50050035,0.99529957,0.00000000
0.02000000,STAND,0.00000158,0.00112080,0.00000101,-0.00009322,0.00000008,0.32046900,-0.00851788,0.00016085,0.00596581,0.02156545,0.00000000,27.30981336,27.32441897,20.18871323,20.19734742,0.00066873,-0.77590240,1.50948549,0.00000000,-0.77297953,1.50050035,3.00494815,0.00000000
0.03000000,STAND,-0.00000543,0.00210423,0.00000466,-0.00028038,0.00000052,0.31915906,-0.00870433,0.00016116,0.00611774,0.02107095,0.00000000,37.15628388,37.12826314,25.98387904,25.97945863,0.00148433,-0.77742951,1.51608478,0.00000000,-0.77297953,1.50050035,4.32420913,0.00000000
0.04000000,STAND,0.00000266,0.00318365,0.00001181,-0.00060068,0.00000164,0.31800479,-0.00900748,0.00016206,0.00633752,0.02073003,0.00000000,48.05339952,48.03862385,38.36455477,38.39152645,0.00237527,-0.77841578,1.52258908,0.00000000,-0.77297953,1.50050035,5.68230249,0.00000000
0.05000000,STAND,-0.00002596,0.00403408,0.00002138,-0.00106931,0.00000304,0.31727262,-0.00944774,0.00016326,0.00664864,0.02042635,0.00000000,45.49293199,45.41455475,27.27471911,27.25354960,0.00331428,-0.77749978,1.52603378,0.00000000,-0.77297953,1.50050035,5.79343529,0.00000000
0.06000000,STAND,0.00000810,0.00328965,0.00003437,-0.00161153,0.00000580,0.31683862,-0.00995483,0.00016551,0.00698447,0.02027008,0.00000000,38.50969569,38.42556237,40.86106578,40.86985910,0.00418272,-0.77651667,1.52661562,0.00000000,-0.77297953,1.50050035,5.06876543,0.00000000
0.07000000,STAND,-0.00006812,0.00310354,0.00004433,-0.00224405,0.00000758,0.31671309,-0.01054292,0.00016741,0.00740528,0.02026346,0.00000000,36.33680097,36.25174416,26.39221595,26.40773465,0.00477972,-0.77453612,1.52674961,0.00000000,-0.77297953,1.50050035,4.95504593,0.00000000
0.08000000,STAND,0.00004049,0.00142360,0.00005714,-0.00288277,0.00001153,0.31669266,-0.01114464,0.00017031,0.00780055,0.02033247,0.00000000,29.44940524,29.15021402,37.90476705,37.71700657,0.00540972,-0.77317528,1.52500558,0.00000000,-0.77297953,1.50050035,4.92188178,0.00000000
0.09000000,STAND,-0.00014730,0.00064477,0.00006074,-0.00355365,0.00001219,0.31679252,-0.01177050,0.00017227,0.00824139,0.02047066,0.00000000,27.07619880,27.40544049,29.06743514,29.53236830,0.00557612,-0.77124839,1.52394756,0.00000000,-0.77297953,1.50050035,4.10541022,0.00000000
0.10000000,STAND,0.00011905,-0.00081964,0.00007113,-0.00419332,0.00001719,0.31686149,-0.01237951,0.00017435,0.00864284,0.02061082,0.00000000,25.07063000,23.63825325,33.56230051,32.18806445,0.00613259,-0.77004196,1.52249776,0.00000000,-0.77297953,1.50050035,4.64929000,0.00000000
0.11000000,STAND,-0.00024036,-0.00181798,0.00006642,-0.00480936,0.00001564,0.31691584,-0.01296104,0.00017784,0.00903281,0.02074063,0.00000000,21.09146700,24.00980137,33.18161361,36.34434661,0.00590435,-0.76869653,1.52146074,0.00000000,-0.77297953,1.50050035,4.91615781,0.00000000
0.12000000,STAND,0.00010603,-0.00257588,0.00007163,-0.00538345,0.00002003,0.31692398,-0.01351211,0.00017294,0.00939768,0.02085183,0.00000000,27.01811279,19.71801201,33.32179564,25.81645684,0.00646461,-0.76776843,1.52120912,0.00000000,-0.77297953,1.50050035,4.81496854,0.00000000
0.13000000,STAND,0.00055274,-0.00363762,0.00008658,-0.00589177,0.00002718,0.31686633,-0.01400031,0.00019545,0.00971473,0.02091418,0.00000000,12.47847680,30.62632794,29.97298663,49.36138175,0.00696184,-0.76725537,1.52074365,0.00000000,-0.77297953,1.50050035,6.48553750,0.00000000
0.14000000,STAND,-0.00170123,-0.00378425,-0.00000281,-0.00636069,0.00000030,0.31680523,-0.01445589,0.00014062,0.00997663,0.02113024,0.00000000,42.09002135,12.91680805,48.35874216,16.23799324,0.00571265,-0.76736419,1.52167293,0.00000000,-0.77297953,1.50050035,6.63547439,0.00000000
0.15000000,STAND,0.00208246,-0.00442205,0.00015099,-0.00677856,0.00007317,0.31671723,-0.01487689,0.00026042,0.01011533,0.02148975,0.00000000,9.74621462,72.28775845,19.02685814,86.07738683,0.01180660,-0.76924542,1.52249185,0.00000000,-0.77297953,1.50050035,13.36389682,0.00000000
0.16000000,STAND,0.00012527,-0.00367088,-0.00048278,-0.00725455,-0.00000901,0.31676289,-0.01535932,0.00012310,0.00794247,0.02505221,0.00000000,74.55217138,0.00000000,43.57238932,0.00000000,0.02738425,-0.77542896,1.54930915,0.00000000,-0.77297953,1.50050035,30.00000000,0.00000000
0.17000000,STAND,0.03137032,-0.00057709,-0.00124767,-0.00776877,0.00093260,0.31645878,-0.01594127,0.00040775,0.02074470,0.01257467,0.00000000,0.00000000,142.19936393,0.00000000,172.01771750,0.11674989,-0.73029348,1.39473571,0.00000000,-0.77297953,1.50050035,30.00000000,0.00000000
