shift_x_mm,shift_y_mm,shift_s,hold_s,lift_mm,lift_s,lower_s,kp,kd,seed,payload_kg,com_offset_x_mm,com_offset_y_mm,friction_scale,compliance_scale,joint_offset_rad,sensor_noise_rad,delay_ms,candidate_id,trial_id,success,reasons,returncode,clearance_m,support_margin_m,roll_deg,pitch_deg,torque_nm,tracking_error_rad,joint_rate_rad_s,touchdown_velocity_m_s,final_joint_error_rad
60,60,2.0,0.0,15,1.5,1.5,180,3.5,20260918,0.880561,7.365247,2.356959,1.199243,1.166312,0.0035208,0.003214,4.8797,0,0,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.5969327336,87.53996049,0.0,0.0
60,60,2.0,0.0,15,1.5,1.5,180,3.5,20260919,0.63349,6.127675,-7.211736,1.061948,1.195466,0.0076631,0.0016089,8.4058,0,1,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,1.109004751,137.9457186,0.0,0.0
60,60,2.0,0.0,15,1.5,1.5,180,3.5,20260920,0.586402,4.196219,-7.445492,1.16038,0.963992,0.0024125,0.0017526,0.3172,0,2,False,all four contacts were not restored after lowering|joint_rate|touchdown_velocity|return_pose_error,2,0.008411505841,0.09357664854,0.4924181093,0.8017025783,30.0,0.05815773787,21.11695428,-1.623495681,0.3398337843
60,60,2.0,0.0,15,1.5,1.5,180,3.5,20260921,0.870751,-9.264831,-8.444406,0.818191,1.087037,0.003791,0.0007523,4.9601,0,3,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.5490737025,86.26572271,0.0,0.0
60,60,2.0,0.0,15,1.5,1.5,180,3.5,20260922,0.90413,3.451027,-2.777414,1.165911,0.803081,0.0007545,0.0025797,7.7906,0,4,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,1.105098649,134.626801,0.0,0.0
55,55,2.5,0.5,15,1.75,1.75,170,3.5,20360918,0.919979,4.688365,8.033932,1.139774,1.019851,0.0061329,0.0033006,4.4475,1,0,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.5527155579,86.39131378,0.0,0.0
55,55,2.5,0.5,15,1.75,1.75,170,3.5,20360919,0.940673,1.019009,-1.69055,0.88601,0.821004,0.0002464,0.0032216,7.6259,1,1,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,1.028609158,161.4240763,0.0,0.0
55,55,2.5,0.5,15,1.75,1.75,170,3.5,20360920,0.320739,-0.526161,-3.691247,0.953654,0.945288,0.004572,0.0019341,7.6102,1,2,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,1.054783053,143.1564474,0.0,0.0
55,55,2.5,0.5,15,1.75,1.75,170,3.5,20360921,0.339702,-9.796503,6.610095,1.065222,1.172742,0.0032003,0.0033639,12.088,1,3,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.4738979781,137.9659504,0.0,0.0
55,55,2.5,0.5,15,1.75,1.75,170,3.5,20360922,0.338138,-4.627726,7.011047,0.857664,0.932895,0.0056231,0.0005535,4.1774,1,4,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.5476783057,87.37056784,0.0,0.0
65,60,2.5,0.5,17,2.0,2.0,180,4.0,20460918,0.452447,-6.146589,-3.071921,0.919709,0.839512,0.0005021,0.003336,4.2761,2,0,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.5743393411,87.44671601,0.0,0.0
65,60,2.5,0.5,17,2.0,2.0,180,4.0,20460919,0.549854,-4.047944,3.088447,1.037339,1.168226,0.0093032,0.0013792,11.649,2,1,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,1.474109908,129.1988459,0.0,0.0
65,60,2.5,0.5,17,2.0,2.0,180,4.0,20460920,0.630251,-0.779357,7.076892,0.916437,0.857668,0.0014675,0.0003788,5.9904,2,2,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.7015412449,105.8140178,0.0,0.0
65,60,2.5,0.5,17,2.0,2.0,180,4.0,20460921,0.668722,-9.320472,-1.23813,0.898916,1.05913,0.0024121,0.0023273,8.2155,2,3,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,1.179639859,138.0074216,0.0,0.0
65,60,2.5,0.5,17,2.0,2.0,180,4.0,20460922,0.659681,5.267712,-0.06816,1.027699,0.811273,0.0048362,0.0036302,7.0974,2,4,False,body roll/pitch exceeded 12 degrees|clearance<5mm|support_margin<=0|tracking_error|joint_rate,2,0.0,nan,0.0,0.0,30.0,0.9710068479,154.7150983,0.0,0.0
