time_s,state,roll_rad,pitch_rad,yaw_rad,body_x_m,body_y_m,body_z_m,com_x_m,com_y_m,support_margin_m,fr_foot_z_m,fr_lift_m,fl_force_n,fr_force_n,hl_force_n,hr_force_n,fr_q0,fr_q1,fr_q2,fr_qd0,fr_qd1,fr_qd2,max_abs_tau_nm,ik_residual_m
0.00100000,STAND,0.00001701,0.00000831,-0.00000209,-0.00000022,0.00000012,0.32208002,-0.00782760,0.00014948,0.00544254,0.02200000,0.00000000,4.09953984,0.45596995,2.15251361,5.57344757,0.00003662,-0.77302772,1.50069596,0.00000000,-0.77297953,1.50050035,0.86035153,0.00000000
0.01000000,STAND,-0.00005250,0.00015474,-0.00000099,-0.00000102,0.00000449,0.32156368,-0.00783372,0.00014985,0.00561681,0.02191727,0.00000000,0.00000000,12.74312212,6.87012681,2.96020861,0.00015320,-0.77382658,1.50300795,0.00000000,-0.77297953,1.50050035,1.23073383,0.00000000
0.02000000,STAND,-0.00062697,0.00020929,0.00009265,-0.00003860,0.00000304,0.32030298,-0.00787319,0.00015027,0.00566926,0.02112361,0.00000000,34.01355020,9.68274792,35.72101732,24.47024582,0.00032380,-0.77532741,1.50614153,0.00000000,-0.77297953,1.50050035,4.20490487,0.00000000
0.03000000,STAND,0.00182995,0.00409854,0.00006109,-0.00017990,0.00002536,0.31869735,-0.00801438,0.00016164,0.00604576,0.02102824,0.00000000,18.18778447,43.61291174,18.75452762,31.07717413,0.00351174,-0.77944160,1.52221429,0.00000000,-0.77297953,1.50050035,5.00684582,0.00000000
0.04000000,STAND,-0.00536415,0.00530443,-0.00021811,-0.00041388,-0.00001327,0.31712299,-0.00825902,0.00014669,0.00614564,0.02021753,0.00000000,96.86517622,72.99449590,8.86762314,5.12020284,-0.00296550,-0.77813498,1.52485161,0.00000000,-0.77297953,1.50050035,12.34477191,0.00000000
0.05000000,STAND,-0.00129691,0.00000776,-0.00027874,-0.00073575,-0.00001747,0.31606279,-0.00855707,0.00011286,0.00621774,0.01948429,0.00000000,44.42824892,18.36384517,114.46399162,69.65256834,0.00340171,-0.78002933,1.52234113,0.00000000,-0.77297953,1.50050035,12.85705017,0.00000000
0.06000000,STAND,0.02979263,0.00967330,0.00024676,-0.00144923,0.00026709,0.31580999,-0.00914697,0.00036261,0.00724215,0.02147647,0.00000000,13.42782527,100.58291271,7.71116677,80.21990591,0.04267518,-0.78177096,1.55675360,0.00000000,-0.77297953,1.50050035,15.57001388,0.00000000
0.07000000,STAND,-0.08348605,0.00901110,-0.00055537,-0.00216401,-0.00060360,0.31517607,-0.00992122,0.00011361,0.00014111,0.01938124,0.00000000,0.00000000,66.97034703,0.00000000,0.00000000,-0.07693987,-0.74639720,1.49900469,0.00000000,-0.77297953,1.50050035,27.10845028,0.00000000
0.08000000,STAND,-0.04948991,0.00022326,-0.00154551,-0.00270592,-0.00085714,0.31492722,-0.01071281,-0.00038094,-0.00364949,0.04909912,0.00000000,1.02977711,0.00000000,0.00000000,0.00000000,0.01234140,-0.83242297,1.73600096,0.00000000,-0.77297953,1.50050035,30.00000000,0.00000000
0.09000000,STAND,0.18638739,0.04776524,-0.00848343,-0.00444196,0.00110720,0.31533856,-0.01184295,-0.00056457,0.04129127,0.13950306,0.00000000,0.00000000,0.00000000,0.00000000,1.45731223,0.48012717,-0.88740036,2.15472195,0.00000000,-0.77297953,1.50050035,30.00000000,0.00000000
0.10000000,STAND,0.10943877,0.04767495,-0.01146572,-0.00654184,0.00113000,0.31516621,-0.01323029,-0.00035047,0.04911436,0.08127840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48799655,-0.58901415,1.55450839,0.00000000,-0.77297953,1.50050035,30.00000000,0.00000000
0.11000000,STAND,-0.18454036,0.03785544,-0.00323817,-0.00897479,-0.00112193,0.31524705,-0.01462478,-0.00028566,0.00538339,0.00225998,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09849902,-0.42708941,1.02412510,0.00000000,-0.77297953,1.50050035,30.00000000,0.00000000
